detalhe_incidente;tipo_incidente;detalhe_limpo
sisap criar tela crud tabela item importar tipo melhoria evolução aplicação categoria serviço engenharia produto cadastro ci sistema sisap engenharia ambiente homologação grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável felipe nascimento resumo executivo implementação tela erviço crud item importar base kits cubo cobre multiplicação lote descrição detalhar síntese reuso melhoria biblioteca formulário engenharia desenvolver serviço ui crud escopo tabela serviço item importar ui manutenção histórico lançamento esforço realizar mês h tarefa concluído crud entregar homologação validação consistente risco dependêncio regra específico negócio kits tubo cobre anexo sugerir evidência crud scripts tabela criar tela crud tabela item importar;Melhorias;criar tela crud tabela item importar tipo melhoria evolução aplicação categoria serviço engenharia produto cadastro engenharia ambiente homologação grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável nascimento resumo executivo implementação tela erviço crud item importar base kits cubo cobre multiplicação lote descrição detalhar síntese reuso melhoria biblioteca formulário engenharia desenvolver serviço crud escopo tabela serviço item importar manutenção histórico lançamento esforço realizar mês tarefa concluído crud entregar homologação validação consistente risco dependêncio regra específico negócio kits tubo cobre anexo sugerir evidência crud scripts tabela criar tela crud tabela item importar
sistema sisap permitir pci avançasse fase subsequente sem ter realizar anterior pci produzir radial sem produzir smt amarração fase processo iac;Erro;permitir pci avançasse fase subsequente ter realizar anterior pci produzir radial produzir smt amarração fase processo iac
sistema sisap não apontar quantidade corretar embalagem placa embolachar pcis embalar qtd divergente ordem produção;Melhorias;apontar quantidade corretar embalagem placa embolachar pcis embalar qtd divergente ordem produção
incluir tela anexo dentro tela principal modal parada linha adicionar lista departamento dentro modal parada linha carregar lista área fab departamento tipo corrigir falha gravar revisar parada linha destinatário manutenção tela parada linha;Corretiva;incluir tela anexo dentro tela principal modal parada adicionar lista departamento dentro modal parada carregar lista área fab departamento tipo corrigir falha gravar revisar parada destinatário manutenção tela parada
correção visualização sub total ac relatorio produção relatorio anexo correção visualização sub total ac;Corretiva;correção visualização sub total produção relatorio anexo correção visualização sub total
passo troca Formula painel sipap relação ppm real atual qtd defeito ponto qtd produzir solicitação qtd defeito qtd produzir passo alterar sinalizador cor relação meta tela cadastro meta atual vermelho amarelo valor aproximar verificar fómula atual solicitação vermelho amarelo verde tela dever restritar usuario cadastrar verificar tela alterar form mudança cálculo ppm painel iac;Melhorias;passo troca formula painel sipap relação ppm real atual qtd defeito ponto qtd produzir qtd defeito qtd produzir passo alterar sinalizador cor relação meta tela cadastro meta atual vermelho amarelo valor aproximar fómula atual vermelho amarelo verde tela dever restritar usuario cadastrar tela alterar form mudança cálculo ppm painel iac
solicitar melhoria relatório produção relatório técnico substituição indicativo porcentagem coluna ppm relatório produção novo calculo vigente atualmente painel produção iac relatorio técnico preciso de esse indicador campo informativo próximo gráfico imagem imagem adequação informação ppm relatório;Adequação de layout;solicitar melhoria relatório produção relatório técnico substituição indicativo porcentagem coluna ppm relatório produção novo calculo vigente atualmente painel produção iac relatorio técnico preciso indicador campo informativo próximo gráfico imagem imagem adequação informação ppm relatório
habilitação serial retrabalho sisap leitura aparelho retrabalho;Melhorias;habilitação serial retrabalho leitura aparelho retrabalho
erro entrada nota terceiro sole nota sem dar entrada desde manhã ontem nota entrar normalmente pedido erro entrada terceiro;Corretiva;erro entrada nota terceiro sole nota dar entrada desde manhã ontem nota entrar normalmente pedido erro entrada terceiro
erro entrada nota entrada subcontratação erro;Erro;erro entrada nota entrada subcontratação erro
erro entrada nota retorno material saldo contabil fiscal ok dizer não saldo nota remessa nota erro anexo erro entrada terceiro;Erro;erro entrada nota retorno material saldo contabil fiscal dizer saldo nota remessa nota erro anexo erro entrada terceiro
não conseguir emitir nota remessa industrialização terceiro erro faturamento remessar industrialização urgente;Erro;conseguir emitir nota remessa industrialização terceiro erro faturamento remessar industrialização urgente
erro carregamento arquivo xml sap operação fornecedor ventoos parado erro carregamento arquivo xml sap;Corretiva;erro carregamento arquivo xml operação fornecedor ventoos parado erro carregamento arquivo xml
xml dar erro entrada retorno componente não aplicar cfop erro entrada nota;Corretiva;xml dar erro entrada retorno componente aplicar cfop erro entrada nota
não ser possível estorno nota fiscal retorno componente travar processo nota erro estorno nota subcontratação;Erro;possível estorno nota fiscal retorno componente travar processo nota erro estorno nota subcontratação
vtim não puxar xml arcon vtin não puxar xml nota;Erro;vtim puxar puxar xml nota
abap pm gmt Carlos Filho erro unidade medir entrada xml nota fiscal parar recebimento invetário dia precisamo todo nota sistema seguir anexo xml imagem erro erro entrada sub contratação unidade medida;Corretiva;carlos filho erro unidade medir entrada xml nota fiscal parar recebimento invetário precisamo todo nota seguir anexo xml imagem erro erro entrada sub contratação unidade medida
problema entrada nota fiscal subcontratação nota fiscal par parar impactar fechamento erro entrada nota;Corretiva;entrada nota fiscal subcontratação nota fiscal par parar impactar fechamento erro entrada nota
abap pm gmt Carlos Filho problema unidade medida entrada nota fiscal subcontratação componel erro entrada subcontratação;Corretiva;carlos filho unidade medida entrada nota fiscal subcontratação componel erro entrada subcontratação
rapaz recebimento estornar nota subcontratação migo não precisar estornar processo pois nota impactar fechamento processo erro estorno nota subcontratação;Corretiva;rapaz recebimento estornar nota subcontratação migo precisar estornar processo pois nota impactar fechamento processo erro estorno nota subcontratação
